Age,Country,EdLevel,MainBranch,Employment,ConvertedCompYearly
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I used to be a developer by profession, but no longer am","Employed, full-time",
45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
45-54 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
18-24 years old,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Student, full-time",
25-34 years old,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",
18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, full-time;Employed, part-time",
18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, part-time;Employed, part-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
55-64 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I used to be a developer by profession, but no longer am","Employed, full-time",
45-54 years old,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
55-64 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Student, part-time",
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
45-54 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United Republic of Tanzania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
45-54 years old,Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
35-44 years old,Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
35-44 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
35-44 years old,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,Italy,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
35-44 years old,Croatia,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
25-34 years old,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
18-24 years old,United States of America,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Romania,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",
18-24 years old,Poland,Some college/university study without earning a degree,I am learning to code,"Independent contractor, freelancer, or self-employed",
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Hungary,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
55-64 years old,Canada,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
35-44 years old,Bulgaria,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
18-24 years old,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
